Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
721459100,00000130,false,1,8,00,80,00,80,22,02,01,29
721459400,00000140,false,1,8,00,80,02,44,20,00,01,89
721469100,00000130,false,1,8,00,80,00,80,22,02,02,0E
721469300,00000140,false,1,8,00,80,02,44,20,00,02,AE
721479100,00000130,false,1,8,00,80,00,80,22,02,03,13
721479300,00000140,false,1,8,00,80,02,44,20,00,03,B3
721489100,00000130,false,1,8,00,80,00,80,22,02,04,40
721489300,00000140,false,1,8,00,80,02,44,20,00,04,E0
721499100,00000130,false,1,8,00,80,00,80,22,02,05,5D
721499300,00000140,false,1,8,00,80,02,44,20,00,05,FD
721509000,00000130,false,1,8,00,80,00,80,22,02,06,7A
721509300,00000140,false,1,8,00,80,02,44,20,00,06,DA
721519000,00000130,false,1,8,00,80,00,80,22,02,07,67
721519300,00000140,false,1,8,00,80,02,44,20,00,07,C7
721528900,00000500,false,1,1,0C
721529100,00000130,false,1,8,00,80,00,80,22,02,08,DC
721529400,00000140,false,1,8,00,80,02,44,20,00,08,7C
721529600,00000495,false,1,8,00,00,0A,0A,82,2D,EE,E4
721539100,00000130,false,1,8,00,80,00,80,22,02,09,C1
721539300,00000140,false,1,8,00,80,02,44,20,00,09,61
721549000,00000130,false,1,8,00,80,00,80,22,02,0A,E6
721549200,00000140,false,1,8,00,80,02,44,20,00,0A,46
721559000,00000130,false,1,8,00,80,00,80,22,02,0B,FB
721559200,00000140,false,1,8,00,80,02,44,20,00,0B,5B
721569000,00000130,false,1,8,00,80,00,80,22,02,0C,A8
721569200,00000140,false,1,8,00,80,02,44,20,00,0C,08
721579000,00000130,false,1,8,00,80,00,80,22,02,0D,B5
721579200,00000140,false,1,8,00,80,02,44,20,00,0D,15
721588900,00000130,false,1,8,00,80,00,80,22,02,0E,92
721589200,00000140,false,1,8,00,80,02,44,20,00,0E,32
721598900,00000130,false,1,8,00,80,00,80,22,02,0F,8F
721599200,00000140,false,1,8,00,80,02,44,20,00,0F,2F
721609000,00000130,false,1,8,05,80,EC,7F,00,02,00,2A
721609200,00000140,false,1,8,14,80,00,5B,20,00,00,DD
721619000,00000130,false,1,8,1E,80,79,7F,00,02,01,A9
721619200,00000140,false,1,8,7C,80,00,5B,20,00,01,A3
721628800,00000500,false,1,1,0C
721629000,00000130,false,1,8,20,80,3C,7F,00,02,02,19
721629300,00000140,false,1,8,C7,80,00,5B,20,00,02,C6
721629500,00000495,false,1,8,00,00,0A,0A,82,2D,EE,E4
721639000,00000130,false,1,8,23,80,30,7F,00,02,03,21
721639200,00000140,false,1,8,F5,80,00,5B,20,00,03,B7
721648900,00000130,false,1,8,2D,80,27,7F,00,02,04,96
721649200,00000140,false,1,8,F1,80,00,5B,20,00,04,8D
721658900,00000130,false,1,8,22,80,26,7F,00,02,05,BD
721659200,00000140,false,1,8,DF,80,00,5B,20,00,05,FE
721668900,00000130,false,1,8,13,80,1D,7F,00,02,06,F7
721669100,00000140,false,1,8,D5,80,00,5B,20,00,06,B1
721678900,00000130,false,1,8,15,80,0A,7F,00,02,07,DC
721679200,00000140,false,1,8,CE,80,00,5B,20,00,07,20
721688900,00000130,false,1,8,1A,80,0A,7F,00,02,08,3B
721689100,00000140,false,1,8,D6,80,00,5B,20,00,08,F0
721698900,00000130,false,1,8,1C,80,05,7F,00,02,09,89
721699100,00000140,false,1,8,DD,80,00,5B,20,00,09,D8
721708900,00000130,false,1,8,1E,80,06,7F,00,02,0A,AA
721709100,00000140,false,1,8,DB,80,00,5B,20,00,0A,2C
721718800,00000130,false,1,8,0E,80,1D,7F,00,02,0B,29
721719100,00000140,false,1,8,D7,80,00,5B,20,00,0B,8A
721728700,00000500,false,1,1,0C
721728900,00000130,false,1,8,0D,80,2C,7F,00,02,0C,D8
721729100,00000140,false,1,8,E1,80,00,5B,20,00,0C,DC
