Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9410424,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9411048,00000140,false,Rx,0,8,55,3E,00,00,BD,01,01,00,
9411301,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9419059,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9419295,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9420167,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9420418,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9421043,00000140,false,Rx,0,8,55,3E,00,00,BD,01,01,00,
9421296,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9429064,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9429311,00000121,false,Rx,0,8,94,07,34,04,00,00,00,00,
9430173,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9430414,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9431038,00000140,false,Rx,0,8,55,3E,00,00,BD,01,01,00,
9431291,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9439081,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9439318,00000121,false,Rx,0,8,92,07,34,04,00,00,00,00,
9440170,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9440420,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9441044,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9441298,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9449097,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9449335,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9450165,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9450416,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9451050,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9451303,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9459113,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9459351,00000121,false,Rx,0,8,93,07,34,04,00,00,00,00,
9460284,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9460534,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9461056,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9461298,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9469118,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9469356,00000121,false,Rx,0,8,91,07,34,04,00,00,00,00,
9470176,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9470416,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9471051,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9471304,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9479134,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9479372,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9480170,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9480421,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9481047,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9481300,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9489151,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9489389,00000121,false,Rx,0,8,91,07,34,04,00,00,00,00,
9490167,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9490418,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9491052,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9491295,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9499166,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9499404,00000121,false,Rx,0,8,8F,07,34,04,00,00,00,00,
9500162,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9500413,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9501047,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9501290,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9509171,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9509419,00000121,false,Rx,0,8,8D,07,34,04,00,00,00,00,
9510167,00000110,false,Rx,0,8,90,07,01,00,00,00,00,00,
9510418,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9511042,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9511295,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9519187,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9519435,00000121,false,Rx,0,8,8F,07,34,04,00,00,00,00,
9520172,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9520413,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9521047,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9521300,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9529214,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9529451,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9530178,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9530418,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9531042,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9531295,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9539219,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9539466,00000121,false,Rx,0,8,8B,07,34,04,00,00,00,00,
9540173,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9540413,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9541047,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9541301,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9549235,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9549471,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9550167,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9550418,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9551042,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9551295,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9559240,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9559487,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9560338,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9560589,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9561048,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9561301,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9569256,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9569502,00000121,false,Rx,0,8,8C,07,34,04,00,00,00,00,
9570157,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9570408,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9571042,00000140,false,Rx,0,8,55,3E,00,00,BD,01,02,00,
9571283,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9579278,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9579514,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9580170,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9580421,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9581045,00000140,false,Rx,0,8,55,3E,00,00,BD,01,03,00,
9581286,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9589292,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9589528,00000121,false,Rx,0,8,8F,07,34,04,00,00,00,00,
9590173,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9590413,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9591037,00000140,false,Rx,0,8,55,3E,00,00,BD,01,03,00,
9591288,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9599304,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9599541,00000121,false,Rx,0,8,8D,07,34,04,00,00,00,00,
9600165,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9600416,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9601040,00000140,false,Rx,0,8,55,3E,00,00,BD,01,03,00,
9601291,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9609318,00000120,false,Rx,0,8,0B,02,0E,00,DB,0E,22,39,
9609554,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9610168,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9610419,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9611043,00000140,false,Rx,0,8,55,3E,08,00,BD,01,03,00,
9611294,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9619330,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9619567,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9620170,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9620421,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9621035,00000140,false,Rx,0,8,55,3E,0D,00,BD,01,03,00,
9621285,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9629343,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9629580,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9630173,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9630424,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9631038,00000140,false,Rx,0,8,55,3E,12,00,BD,01,03,00,
9631289,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9639357,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9639604,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9640166,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9640417,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9641031,00000140,false,Rx,0,8,55,3E,15,00,BD,01,03,00,
9641282,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9649372,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9649608,00000121,false,Rx,0,8,91,07,34,04,00,00,00,00,
9650170,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9650421,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9651035,00000140,false,Rx,0,8,55,3E,17,00,BD,01,03,00,
9651286,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9659385,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9659621,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9660286,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9660528,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9661027,00000140,false,Rx,0,8,55,3E,19,00,BD,01,03,00,
9661278,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9669397,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9669634,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9670165,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9670416,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9671040,00000140,false,Rx,0,8,55,3E,1A,00,BD,01,03,00,
9671292,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9679410,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9679658,00000121,false,Rx,0,8,92,07,34,04,00,00,00,00,
9680168,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9680418,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9681032,00000140,false,Rx,0,8,55,3E,1B,00,BD,01,03,00,
9681284,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9689423,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9689671,00000121,false,Rx,0,8,8F,07,34,04,00,00,00,00,
9690170,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9690421,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9691035,00000140,false,Rx,0,8,55,3E,1C,00,BD,01,03,00,
9691287,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9699437,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9699686,00000121,false,Rx,0,8,8F,07,34,04,00,00,00,00,
9700163,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9700414,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9701038,00000140,false,Rx,0,8,55,3E,1C,00,BD,01,03,00,
9701290,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9709459,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9709698,00000121,false,Rx,0,8,92,07,34,04,00,00,00,00,
9710165,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9710416,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9711040,00000140,false,Rx,0,8,55,3E,1D,00,BD,01,03,00,
9711292,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9719462,00000120,false,Rx,0,8,0B,02,0E,00,DB,0E,22,39,
9719700,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9720168,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9720419,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9721032,00000140,false,Rx,0,8,55,3E,1D,00,BD,01,03,00,
9721285,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9729486,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9729725,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9730171,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9730423,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9731036,00000140,false,Rx,0,8,55,3E,1D,00,BD,01,03,00,
9731278,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9739489,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9739728,00000121,false,Rx,0,8,93,07,34,04,00,00,00,00,
9740175,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9740427,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9741029,00000140,false,Rx,0,8,55,3E,1D,00,BD,01,03,00,
9741281,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9749513,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9749752,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9750188,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9750440,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9751043,00000140,false,Rx,0,8,55,3E,1E,00,BD,01,03,00,
9751295,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9759525,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9759764,00000121,false,Rx,0,8,8F,07,34,04,00,00,00,00,
9760355,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9760607,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9761034,00000140,false,Rx,0,8,55,3E,1E,00,BD,01,03,00,
9761286,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9769537,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9769776,00000121,false,Rx,0,8,92,07,34,04,00,00,00,00,
9770192,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9770433,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9771036,00000140,false,Rx,0,8,55,3E,1E,00,BD,01,03,00,
9771288,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9779549,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9779788,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9780194,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9780446,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9781038,00000140,false,Rx,0,8,55,3E,1E,00,BD,01,03,00,
9781290,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9789564,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9789802,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9790197,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9790439,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9791041,00000140,false,Rx,0,8,55,3E,1E,00,BD,01,03,00,
9791283,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9799576,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9799814,00000121,false,Rx,0,8,91,07,34,04,00,00,00,00,
9800189,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9800441,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9801032,00000140,false,Rx,0,8,55,3E,1E,00,BD,01,03,00,
9801285,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9809589,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9809826,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9810222,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9810463,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9811035,00000140,false,Rx,0,8,55,3E,1E,00,BD,01,04,00,
9811287,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9819602,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9819840,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9820194,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9820436,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9821039,00000140,false,Rx,0,8,55,3E,1E,00,BD,01,04,00,
9821290,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9829614,00000120,false,Rx,0,8,0B,02,0E,00,DB,0E,22,39,
9829862,00000121,false,Rx,0,8,91,07,34,04,00,00,00,00,
9830196,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9830448,00000111,false,Rx,0,8,01,22,00,00,00,00,00,00,
9831031,00000140,false,Rx,0,8,55,3E,25,00,BD,01,03,00,
9831281,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9839637,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9839875,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9840240,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9840481,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9841022,00000140,false,Rx,0,8,55,3E,2B,00,BD,01,03,00,
9841273,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9849649,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9849887,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9850179,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9850431,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9851024,00000140,false,Rx,0,8,55,3E,2F,00,BD,01,03,00,
9851275,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9859663,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9859909,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9860316,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9860556,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9861026,00000140,false,Rx,0,8,55,3E,32,00,BD,01,04,00,
9861277,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9869677,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9869913,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9870196,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9870437,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9871031,00000140,false,Rx,0,8,55,3E,35,00,BD,01,04,00,
9871281,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9879690,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9879926,00000121,false,Rx,0,8,8D,07,34,04,00,00,00,00,
9880240,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9880491,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9881022,00000140,false,Rx,0,8,55,3E,37,00,BD,01,04,00,
9881273,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9889703,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9889939,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9890192,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9890432,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9891025,00000140,false,Rx,0,8,55,3E,38,00,BD,01,04,00,
9891276,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9899716,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9899962,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9900204,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9900455,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9901028,00000140,false,Rx,0,8,55,3E,39,00,BD,01,04,00,
9901278,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9909728,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9909964,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9910216,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9910457,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9911021,00000140,false,Rx,0,8,55,3E,3A,00,BD,01,04,00,
9911271,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9919742,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9919978,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9920230,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9920481,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9921022,00000140,false,Rx,0,8,55,3E,3A,00,BD,01,04,00,
9921273,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9929754,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9930001,00000121,false,Rx,0,8,91,07,34,04,00,00,00,00,
9930243,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9930483,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9931026,00000140,false,Rx,0,8,55,3E,3B,00,BD,01,04,00,
9931276,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9939767,00000120,false,Rx,0,8,0B,02,0E,00,DA,0E,22,39,
9940014,00000121,false,Rx,0,8,8E,07,34,04,00,00,00,00,
9940256,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9940507,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9941018,00000140,false,Rx,0,8,55,3E,3B,00,BD,01,04,00,
9941268,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9949780,00000120,false,Rx,0,8,0B,02,0E,00,DB,0E,22,39,
9950026,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9950268,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9950519,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9951020,00000140,false,Rx,0,8,55,3E,3B,00,BD,01,04,00,
9951271,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9959803,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
9960041,00000121,false,Rx,0,8,92,07,34,04,00,00,00,00,
9960374,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9960625,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9961022,00000140,false,Rx,0,8,55,3E,3B,00,BD,01,04,00,
9961273,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9969817,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9970054,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9970305,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9970546,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9971026,00000140,false,Rx,0,8,55,3E,3C,00,BD,01,04,00,
9971277,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9979830,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9980067,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
9980308,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9980558,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9981028,00000140,false,Rx,0,8,55,3E,3C,00,BD,01,04,00,
9981279,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9989842,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
9990080,00000121,false,Rx,0,8,93,07,34,04,00,00,00,00,
9990320,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
9990571,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
9991020,00000140,false,Rx,0,8,55,3E,3C,00,BD,01,05,00,
9991271,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
9999855,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
10000093,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
10000344,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
10000584,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
10001023,00000140,false,Rx,0,8,55,3E,43,00,BD,01,05,00,
10001274,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
10009868,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
10010106,00000121,false,Rx,0,8,90,07,34,04,00,00,00,00,
10010357,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
10010597,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
10011016,00000140,false,Rx,0,8,55,3E,49,00,BD,01,04,00,
10011266,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
10019882,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
10020120,00000121,false,Rx,0,8,93,07,34,04,00,00,00,00,
10020361,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
10020611,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
10021019,00000140,false,Rx,0,8,55,3E,4D,00,BD,01,05,00,
10021270,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
10029897,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
10030134,00000121,false,Rx,0,8,91,07,34,04,00,00,00,00,
10030385,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
10030626,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
10031023,00000140,false,Rx,0,8,55,3E,50,00,BD,01,05,00,
10031274,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
10039910,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
10040147,00000121,false,Rx,0,8,91,07,34,04,00,00,00,00,
10040398,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
10040639,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
10041026,00000140,false,Rx,0,8,55,3E,53,00,BD,01,05,00,
10041276,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
10049923,00000120,false,Rx,0,8,0B,02,0E,00,DB,0E,22,39,
10050170,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
10050410,00000111,false,Rx,0,8,01,2A,00,00,00,00,00,00,
10050651,00000121,false,Rx,0,8,94,07,34,04,00,00,00,00,
